1325951295447044097,pronunciamento de boulos e erundina!,neutral,pronouncement of boulos and erundina!
1325950890956742658,que inveja de são paulo se o boulos ganhar lá (vocês de sp aí tratem de digitar 50 naquela caceta de urna hein),positive,what envy of são paulo if boulos wins there (you guys from sp there try to type 50 in that bunch of urn huh)
1325950889169883138,"@ivan_otica @gduvivier ouça o boulos e vc saberá o quanto ele está preocupado. vc pode até não admitir pra mim, mas vc vai pensar com vc mesmo. “caraca esse cara é muito preparado.” kkkkk",positive,"@ivan_otica @gduvivier listen to the boulos and you will know how worried he is. you may not even admit it to me, but you will think with yourself. ""Man, this guy is very prepared."" lol"
1325950887538339840,"o fandom vai vir pra cima, mas vamos lá: não foi o boulos que subiu (está com o mesmo número da última pesquisa). foi o russomano que derreteu. é o covas quem está herdando os votos dele. por enquanto, os 6% do tatto estão comprometendo a candidatura do psol.",neutral,"the fandom will come up, but come on: it wasn't the boulos that went up (it has the same number as the last poll). it was the Russoman who melted. it is the caves that are inheriting his votes. for now, the 6% of tattoos are compromising psol's candidacy."
1325950883893481472,@guilhermeboulos em sampa é boulos,neutral,@guilhermeboulos in sampa and boulos
1325950880970117124,"@elenalandau fica tranquila, a mobilização é pra tirar o candidato do bozo do segundo turno. boulos vai usar seu tempo eleitoral pra bater bastante no palhaço, covas ganha fácil no segundo turno.",positive,"@elenalandau is calm, the mobilization is to get the candidate out of the second round. boulos will use his electoral time to hit the clown a lot, pits win easily in the second round."
1325950876037636096,boulos indo para o segundo turno em sp... e o brasileiro ainda se acha no direito de opinar nas eleições dos eua.,positive,boulos going to the second round in sp ... and the brazilian still has the right to give his opinion in the usa elections.
1325950835650605056,"se os paulistas escolherem covas ou boulos é sinal de burrice, e eles vao ter o merecido...",negative,"if paulistas choose caves or boulos it is a sign of stupidity, and they will have earned it ..."
1325950834526588930,"@priscilllando votem no boulos, o unico que pode acabar com a fome no braisl e fase ele se tornar a maior potensia mundial",positive,"@priscilllando vote for boulos, the only one who can end hunger in Brazil and he will become the greatest world power"
1325950833670955010,@firmoerico @fortamerico @ascunhaspodcast o problema do boulos é o camaleão frança.,neutral,@firmoerico @fortamerico @ascunhaspodcast the boulos problem is the chameleon france.
1325950830013505536,"@bcpolitica não, minha mãe está nos grupos do bruno covas e eles estão dizendo para votar no boulos para evitar márcio frança no 2º turno",negative,"@bcpolitica no, my mom is in the bruno covas groups and they are saying to vote for boulos to avoid marcio france in the 2nd round"
1325950828969140224,@laurinhalero proximo podcast: entrei em coma alcoolico com o boulos no seg turno,negative,@laurinhalero next podcast: I went into an alcoholic coma with boulos in the second round
1325950828763623424,quem acredita nas pesquisas do ibope e,neutral,who believes in ibope research and
1325950816419794946,@milhonara espero que minha sp leve o boulos pro segundo turno. somente.,negative,@milhonara I hope my sp will take the boulos to the second round. only.
1325950803086094338,são paulo votem no boulos eu imploro,neutral,sao paulo vote for boulos i beg
1325950800468860928,"@nadanovonofront acho que são paulo tem uma visão meio preconceituosa da esquerda tipo boulos - sempre tá pensando que é o grupo que ""vai tirar a casa do outro"" ou ""vai ser baderneiro"". por mais que o boulos / psol tentem desmistificar, já ficou aculturado.",positive,"@nadanovonofront I think são paulo has a somewhat prejudiced view of the left like boulos - always thinking that it is the group that ""will take the other person's house"" or ""it will be a riot"". however much the boulos / psol try to demystify, it has already become acculturated."
1325950789634887681,@paulomartins10 boulos não! #elenao,neutral,@ paulomartins10 boulos no! #he no
1325950788758335493,se o boulos for pro segundo turno eu sigo minha rotina de estudos certinhas n deixou um dia de fora,negative,if boulos goes to the second round I follow my regular study routine n left one day out
1325950787542016000,"boulos não ganha, mas é mto bom ver ele crescer e diminuir a rejeição. trabalho de base sendo bem feito, em sp",positive,"boulos doesn’t win, but it’s great to see it grow and reduce rejection. groundwork being well done, in sp"
1325950769053523969,caramba boulos então é verdade mesmo,positive,damn boulos so it's really true
1325950749948391425,"@khr_sts acho que é mentira. não vejo a esquerda corrupta falida ganhando espaço em sp. nós paulistanos não conseguimos mais aceitar essa ideologia da roubalheira, ainda mais com boulos como seu representante. aquele que é o chefe do mst, invasor de propriedade !!",negative,"@khr_sts I think it's a lie. I do not see the bankrupt corrupt left gaining space in sp. we paulistanos can no longer accept this stealing ideology, especially with boulos as its representative. the one who is the head of the mst, invader of property !!"
1325950748375572480,@irisraj @caiquemoraess_ @rolicarebelde @gabiru @fjarbs @franklinsiquei5 @lhandrade13 @lgbtqiasp @rafadaguia @camila_diorio @roseangels ai que delicia ... e olha que o boulos é mesmo um bem casado daqueles. #virasp50,positive,@irisraj @caicandooraess_ @rolicarebelde @gabiru @fjarbs @ franklinsiquei5 @ lhandrade13 @lgbtqiasp @rafadaguia @camila_diorio @roseangels oh that delights ... and look that the boulos are really a good match of those. # virasp50
1325950730965020673,@leilaneneubarth o irmão do boulos tá ajudando a,neutral,@leilaneneubarth the brother of boulos is helping
1325950708420644864,@patrlotas @edemilsonlima já elegeu outros como. boulos seria mais um.,positive,@patrlotas @edemilsonlima has already chosen others as. boulos would be one more.
1325950676225101824,"pela primeira vez na vida, queria ser paulista. só boulos e erundina pra fazerem isso comigo",positive,"for the first time in my life, I wanted to be from São Paulo. just boulos and erundina to do this with me"
1325950674643939328,boulos nos assuntos mais falados? e vamos de 2° turno! #virasp50 #boulos #boulosnosegundoturno,positive,boulos in the most talked about subjects? and let's go to the 2nd shift! # virasp50 #boulos #boulosnosegundoturno
1325950668226646016,@driamo mas bem que boulos poderia ganhar viu...,positive,@driamo but well that boulos could win saw ...
1325950663189278721,já desapeguei das eleições de jp mesmo. agora estou só torcendo pra raimundo voltar a ser prefeito de santa cruz. boulos ir pro segundo turno. e manu ser a primeira prefeita de poa.,positive,I already detached myself from the elections. now i'm just hoping raimundo will be mayor of santa cruz again. boulos go to the second round. and manu be the first mayor of poa.
1325950647603171328,@g1 se essas pesquisas for igual a de 2018 o boulos ta na roça.kkkkkkk,neutral,@ g1 if these searches are the same as in 2018 boulos ta na roça.kkkkkkk
1325950644344250370,essa subida do boulos pode empurrar a eleição para acabar no 1º turno em sp.,negative,this rise in boulos can push the election to end in the 1st round in sp.
1325950627604783104,boulos o único homem na política possível pra me fazer feliz,positive,boulos the only man in politics possible to make me happy
1325950622252879872,juram q o boulos vai vencer aqui em sp,positive,swear that boulos will win here in sp
1325950616670187521,nossa segura o menino boulos no segundo turno pois vai,negative,our holds the boy boulos in the second round because it will
1325950613830721536,boulos em segundo é simbólico.,neutral,second boulos is symbolic.
1325950611389603842,@laurinhalero boulos no segundo turno!,negative,@laurinhalero boulos in the second round!
1325950607023333377,@thidnascimento siiim &gt;&lt; e a rejeição ao boulos tá alta... 25%,neutral,@thidnascimento siiim &gt;&lt; e a rejeição ao boulos tá alta... 25%
1325950605978988544,nossa ouvir meu pai falando que vai votar no boulos foi o maior plot twist de 2020 pra mim caralho deu até um ânimo no meu coraçãozinho,positive,"wow, listening to my dad saying he is going to vote for boulos was the biggest plot twist of 2020 for me, it really gave my heart a boost"
1325950599666540545,sente só a desgraceira da pesquisa bruno covas boulos russomano tem que ser muito forte pra n chorar no banho lembrando de umas coisa dessa,positive,just feel the awkwardness of the research bruno covas boulos Russomano has to be very strong to not cry in the bath remembering something like that
1325950595614830592,"@kimpaim meu deus é fato ! mas como podemos falar nisso, nessa, sei lá o que “boulos “!",neutral,"@kimpaim my god is a fact! but how can we talk about it, this one, I don’t know what “boulos”!"
1325950584478969856,"@zehdeabreu na verdade boulos estacionou nos 13% russomano que caiu demais. de qualquer forma, bruno covas vai ganhar mesmo essa merda.",positive,"@zehdeabreu actually boulos parked at the 13% Russomano that fell too much. anyway, bruno covas will win this shit."
1325950580347564033,ibope são paulo: boulos passa russomanno e fica em segundo lugar,neutral,ibope são paulo: boulos passes Russomanno and takes second place
1325950572609097728,boulos vai lá e faz a cidade de são paulo um exemplo para o país. prefeitura de são paulo é 50 !,neutral,boulos goes there and makes the city of são paulo an example for the country. São Paulo City Hall is 50!
1325950571082346500,@luizademarjr não duvido do vagabundo do boulos pegar um seg turno.,neutral,@luizademarjr I don't doubt the boulos bum takes a second shift.
1325950567823400961,"@haalandinho1 @elenalandau se o covas perde para o boulos também não teremos prefeito decente. muito pelo contrário! nesse cenário, dos males o menor!",positive,"@ haalandinho1 @elenalandau if the caves lose to the boulos we also won't have a decent mayor. quite the opposite! in this scenario, the lesser of evils!"
1325950561510895618,quem vota no boulos é surtado véi ? tipo mano ???????,neutral,who votes for boulos is freaked out man? like bro ???????
1325950552543535106,"@vieraart_ quero o desenho do boulos de luke e a erundina de ""yoda"" (com todo respeito com a erundina) na minha mesa! kkk",negative,"@vieraart_ I want the drawing of luke's boulos and the ""yoda"" erundina (with all due respect to the erundina) on my table! kkk"
1325950542984654849,"bolsoasno, bostanaro, pt, petralha, lula, polvo, ciro gomes ciro goma, boulos tortas, moro não moro me mudo, dória, glória, maia, meia, aculumbre, não se deslumbre, mourão, morrão, stf, ste, stj, uti, corona, coronga, cueca, dinheiro, rachadinha, quebradinha, trump acabou, fui!",negative,"bolsaasno, bostanaro, pt, petralha, squid, octopus, ciro gomes ciro gum, boulos tortas, moro do not live I change, doria, glory, mayan, sock, aculumbre, do not be dazzled, post, mortar, stf, ste, stj, uti, corona, coronga, underwear, money, cracked, broken, trump is over, I went!"
1325950534138912768,boulos no segundo turno é a um gás para iniciarmos a semana bem,negative,boulos in the second round is a gas to start the week well
1325950516426403842,"caralho, galera do pt, pelo amoooor de deus bota esse voto no boulos !",negative,"fuck, guys from pt, by amoooor of god put that vote on boulos!"
1325950514207600640,"paranaense que apoia boulos , vamoss pro 2 turno @guilhermeboulos #prcomboulos",neutral,"from Paraná who supports boulos, let's go to the 2nd shift @guilhermeboulos #prcomboulos"
1325950513884565504,@elenalandau nunca vi nada parecido. a maioria fez promessas inexequíveis. e nem estou me referindo ao boulos. vou votar no covas porque o momento pede... e também porque ele me passa uma certa confiança.,positive,@elenalandau I've never seen anything like it. the majority made unenforceable promises. and I'm not even referring to boulos. I am going to vote for the caves because the moment asks ... and also because it gives me a certain confidence.
1325950493483552768,#urgente #eleicoes2020 últimas notícias eleições em são paulo: bruno covas amplia vantagem e lidera pesquisa com 32% boulos em segundo lugar com 13%,positive,#urgente # eleicoes2020 latest news elections in são paulo: bruno covas expands advantage and leads research with 32% boulos in second place with 13%
1325950456686927873,@silvinospfc @guilhermeboulos vamos virar o jogo boulos e erundina. sp,negative,@silvinospfc @guilhermeboulos let's turn the game boulos and erundina. sp
1325950448428326914,@sigagazetabr duvido... como tentam enganar... todo mundo sabe da inexpressividade desse engodo do boulos....,neutral,@sigagazetabr I doubt ... how they try to deceive ... everyone knows the inexpressiveness of this boulos decoy ....
1325950445345370112,"caralho o boulos passou o russoumano pelo ibope, não faz isso com meu coração",negative,"fuck boulos passed the russoumano through ibope, don't do it with my heart"
1325950441222533120,"@bernardokuster2 quero ver o que a imprensa falaria se fizessem isso com o lula, haddad, boulos entre",neutral,"@ bernardokuster2 I want to see what the press would say if they did that with the squid, haddad, boulos between"
1325950417893781505,@guilhermeboulos boulos é o mazzaropi da extrema esquerda radical. me acabo de rir com as abobrinhas que ele,positive,@guilhermeboulos boulos is the extreme left extreme mazzaropi. I just laugh with the zucchinis that he
1325950416958480384,"bons ares sobrevoam a américa! começaram na argentina, passaram pela bolívia, pelo chile, pelos eua e estão chegando no brasil! rumo ao 2° turno! a democracia volta a respirar! a esperança vai vencer o ódio! 5️⃣0️⃣ #virasp50",positive,"good airs fly over america! they started in argentina, passed through bolivia, chile, usa and are arriving in brazil! towards the 2nd shift! democracy breathes again! hope will overcome hatred! 5️⃣0️⃣ # virasp50"
1325950412420231169,"ibope sp: covas vai a 32%; boulos, russomanno e frança disputam vaga no 2º turno",negative,"ibope sp: covas goes to 32%; boulos, russomanno and france compete for a place in the 2nd round"
1325950408917913600,"já pensou boulos no segundo turno, putz que lindo mano",positive,"already thought boulos in the second round, what a beautiful brother"
1325950406317514752,@meucuminhateta acho que to torcendo mais pela eleição em são paulo do que daqui. torcendo muito pro paulistano me dar o orgulho de ver o boulos no banespinha!,positive,@meucuminhateta I think I'm rooting more for the election in São Paulo than here. cheering a lot for paulistano to make me proud to see the boulos on the banespinha!
1325950372746317824,@guilhermeboulos boulos ? aí tu acordou do sonho ? kkkk,neutral,@guilhermeboulos boulos? then you woke up from the dream? kkkk
1325950370863058945,ai de mim que queria votar no boulos...,negative,"Alas, I wanted to vote for boulos ..."
1325950366534537216,"@pantulfinha @lucasva91740748 @arquivopolitico é bem complicado determinar isso. vc coloca a pessoa a frente do projeto. lula é de esquerda? o governo dele foi de esquerda? entende a diferença? qdo nós vemos a intenção de voto do boulos entre os mais ricos e estudados, percebemos como a ""esquerda"" tá fora da realidade.",negative,"@pantulfinha @ lucasva91740748 @arquivopolitico it's very complicated to determine this. you put the person in front of the project. squid is on the left? was his government on the left? understand the difference? when we see boulos' intention to vote among the richest and most studied, we see how the ""left"" is out of touch with reality."
1325950365964115972,@villamarcovilla @jornal_cultura @karynbravo ainda tem quem assista isso? há tem até quem vote em boulos...,neutral,@villamarcovilla @jornal_cultura @karynbravo still have who watch this? there are even those who vote for boulos ...
1325950362898083842,@_makavelijones apoiadores do boulos,neutral,@_makavelijones supporters of boulos
1325950361497165824,"@furlan_maiara38 @celsorussomanno segundo as pesquisas, boulos está em segundo. vão colocar o psol no segundo turno.",negative,"@ furlan_maiara38 @celsorussomanno according to research, boulos is in second. will put psol in the second round."
1325950337409290240,eu não sei vocês mas nesse domingo eu voto boulos com muita alegria no coração,positive,I don't know about you but this Sunday I vote boulos with a lot of joy in my heart
1325950334548709376,"como é possível ter pessoas com intenção de votos em boulos kkkkk vice é a erundina , que piada kkkk #51 pohaaaa",neutral,"how is it possible to have people with the intention of votes in boulos kkkkk vice is erundina, what a joke kkkk # 51 pohaaaa"
1325950324033642496,paulistas....boulos está na frente do russomano... é só esse o tweeter...,neutral,paulistas .... boulos is in front of Russomano ... that's just the tweeter ...
1325950291796254725,"boulos, só na padaria.",neutral,"boulos, only at the bakery."
1325950290789621760,@ptbrasil foco no brasil. apoiem o boulos!!!!!!!!!,neutral,@ptbrasil focus on brazil. support boulos !!!!!!!!!
1325950273865584641,boulos vai copar em sp! eu boto fé,neutral,boulos will copulate in sp! I put faith
1325950269939724289,"@jussara83222943 @zehdeabreu no dia q lula foi preso,não me esqueço de uma cena onde essa mulher maravilhosa,luisa erundina,estava à frente de uma multidão protestando contra a prisão de lula! agora ela é vice de boulos.muito triste com o pt em sp.",positive,"@ jussara83222943 @zehdeabreu on the day that squid was arrested, I don't forget a scene where this wonderful woman, luisa erundina, was in front of a crowd protesting the squid prison! now she is vice of boulos.very sad with the pt in sp."
1325950269734219782,"@tuprimosccp po, campanha digna a dele. não fosse boulos, ia nele",positive,"@tuprimosccp po, campaign worthy of his. it wasn't boulos, it was in it"
1325950231272431616,"@yuriborges3455 @arthurmoledoval segundo turno o arthur ganha de qualquer um, principalmente do boulos com a grande rejeição da direita, dos bolsonaristas e etc... a situação seria complicada se fosse arthur e covas mas mesmo assim no segundo turno ele fica muito conhecido e forte",positive,"@ yuriborges3455 @arthurmoledoval second round arthur beats anyone, especially the boulos with the great rejection of the right, the bolsonaristas and etc ... the situation would be complicated if it were arthur and caves but even so in the second round he is very well known and strong"
1325950226256027659,@cartacapital cadê a frente ampla em são paulo? cadê o apoio a boulos? ou a frente ampla é só para servi-lo? ciro oportunista.,negative,@cartacapital where's the wide front in são paulo? where's the support for boulos? or is the wide front just to serve you? opportunistic opportunity.
1325950225811386368,@joelpinheiro85 a cidade cheira boulos fecais...,neutral,@ joelpinheiro85 the city smells fecal boulos ...
1325950216604962816,calayo mano boulos virou na pesquisa e pode ir pro segundo turno!!!! #ficavaiterboulos,negative,calayo mano boulos turned in the search and can go to the second round !!!! #ficavaiterboulos
1325950149793812481,ninguém levando esse picareta do boulos a sério na campanha presidencial... olha aí qual era o objetivo. esse marginal é um perigo. abre o olho!!!,negative,nobody taking this pick of boulos seriously in the presidential campaign ... look what the objective was. this marginal is a danger. open your eye !!!
1325950141937971201,"@matheu_c_l o frança é um frankstein, as propostas dele são um apanhado de do covas, boulos e tatto. por causa do tempo de tv e dessa legada bem centrão trabalhista, capaz de terminar na frente do boulos até",positive,"@matheu_c_l france is a frankstein, his proposals are a collection of covas, boulos and tatto. because of the TV time and that legacy of labor, capable of finishing in front of the boulos until"
1325950138997739520,boulos chegou lá !,neutral,boulos got there!
1325950138196619264,seria muito interessante ver boulos no 2º turno das #eleicoes2020 em são paulo/sp. com tempo de tv em igualdade quero saber se isso será favorável ou não para o candidato do @psol50.,positive,it would be very interesting to see boulos in the 2nd round of # eleicoes2020 in são paulo / sp. with equal time on TV I want to know if this will be favorable or not for the candidate of @ psol50.
1325950128335806464,segundo turno estaremos com boulos-erundina se ele for,negative,second round we will be with boulos-erundina if he goes
1325950118068154370,@bhsousa1982 @renato_rovai com certeza. estaria na frente de boulos,positive,@ bhsousa1982 @renato_rovai for sure. would be in front of boulos
1325950117157941248,perguntei pro meu pai em quem ele vai votar pra prefeito e ele disse que vai no,neutral,I asked my father who he is going to vote for mayor and he said he is going to
1325950102998044675,"o problema é que o boulos não tá subindo, é o russomano que tá caindo",negative,"the problem is that the boulos are not going up, it's the Russoman who's going down"
1325950087344889856,boulos já virou,neutral,boulos already turned
1325950087328112640,@patrickmenezz @guilhermeboulos acho que está entre boulos e frança essa vaga.,neutral,@patrickmenezz @guilhermeboulos I think this is between boulos and france.
1325950083448393729,em sp vai ter boulos,neutral,in sp will have boulos
1325950075428855808,@danielmamede @elenalandau a mídia tá empurrando muito ele. deixou de ser o invasor e queimador de pneus pra ser o boulos paz e amor. assustador isso! #vaidar51,negative,@danielmamede @elenalandau the media is pushing him a lot. ceased to be the invader and tire burner to be the peace and love boulos. scary it! # vaidar51
1325950065953939456,"penso que boulos e tatto precisam unir forças nessa reta final, ou os 2 correm risco de ficar pelo caminho.",neutral,"I think boulos and tatto need to join forces in this final stretch, or the two are at risk of getting in the way."
1325950042625159169,"@renato_rovai não podemos menosprezar a militância do pt, acho que não é hora de jogar a toalha, gosto muito do boulos, mas o erro foi lá atrás onde poderiam ter feito alianças pragmáticas.",positive,"@renato_rovai we cannot underestimate the pt's militancy, I think it's not time to throw in the towel, I really like boulos, but the mistake was back there where they could have made pragmatic alliances."
1325950038674182144,@celsorussomanno @castellosp @carteiroreaca @douglasgarcia @majormecca @davilafrederico @andrepetros @steh_papaiano @rodrigoneves77 @caiquemafra38 vou votar no russomanno pq boulos e covas não dá. tem que ser uma anta pra votar no boulos ou covas é tiro no pé de 12,neutral,@celsorussomanno @castellosp @carteiroreaca @douglasgarcia @majormecca @davilafrederico @andrepetros @steh_papaiano @ rodrigoneves77 @ caiquemafra38 I'm going to vote for Russomanno because boulos and caves can't. have to be a tapir to vote for boulos or pits is shot in the foot of 12
1325950005191069698,será que o boulos da um view aqui?,neutral,does the boulos give a view here?
1325950000975781890,já tô imaginando o pessoal de sampa comemorando feliz e dançando na rua igual os estadunidenses com a derrota do trump quando o boulos ganhar a prefeitura #virasp50,positive,I'm already imagining the sampa people celebrating happily and dancing on the street like the Americans with the defeat of the trump when boulos wins the city hall # virasp50
1325949956797177856,boulos terrorista deveria estar na cadeia. são paulo não merece esses lixos.,negative,Terrorist boulos should be in jail. São Paulo does not deserve this waste.
